"Participant_ID","Unique_Session_ID","Day_Num","Time_Offset","Session_Type","Dimension","Intensity"
2,"002EMA_Day9",9,600,"EMA","Pressure",8.8
2,"002EMA_Day9",9,840,"EMA","Pressure",13.9
2,"002EMA_Day10",10,360,"EMA","Pressure",8.6
2,"002EMA_Day10",10,600,"EMA","Pressure",35.2
2,"002EMA_Day10",10,840,"EMA","Pressure",29.6
2,"002EMA_Day11",11,360,"EMA","Pressure",33.1
2,"002EMA_Day11",11,600,"EMA","Pressure",27.1
2,"002EMA_Day11",11,840,"EMA","Pressure",18.1
2,"002EMA_Day12",12,360,"EMA","Pressure",22.5
2,"002EMA_Day12",12,600,"EMA","Pressure",8.8
2,"002EMA_Day12",12,840,"EMA","Pressure",11.4
2,"002EMA_Day13",13,360,"EMA","Pressure",32.9
2,"002EMA_Day13",13,600,"EMA","Pressure",9.8
2,"002EMA_Day13",13,840,"EMA","Pressure",20
2,"002EMA_Day14",14,360,"EMA","Pressure",12.7
2,"002EMA_Day14",14,600,"EMA","Pressure",9.8
2,"002EMA_Day14",14,840,"EMA","Pressure",9.4
2,"002EMA_Day15",15,360,"EMA","Pressure",16.7
2,"002EMA_Day15",15,600,"EMA","Pressure",20.6
2,"002EMA_Day16",16,360,"EMA","Pressure",8.3
2,"002EMA_Day16",16,600,"EMA","Pressure",8.8
2,"002EMA_Day16",16,840,"EMA","Pressure",9
2,"002EMA_Day17",17,360,"EMA","Pressure",6.3
2,"002EMA_Day17",17,600,"EMA","Pressure",7.7
2,"002EMA_Day17",17,840,"EMA","Pressure",11.2
2,"002EMA_Day18",18,360,"EMA","Pressure",49.7
2,"002EMA_Day18",18,600,"EMA","Pressure",42.1
2,"002EMA_Day18",18,840,"EMA","Pressure",23.5
2,"002EMA_Day19",19,360,"EMA","Pressure",8.5
2,"002EMA_Day19",19,600,"EMA","Pressure",17.7
2,"002EMA_Day19",19,840,"EMA","Pressure",8.5
2,"002EMA_Day20",20,360,"EMA","Pressure",20.2
2,"002EMA_Day20",20,600,"EMA","Pressure",20.7
2,"002EMA_Day20",20,840,"EMA","Pressure",32.1
2,"002EMA_Day1",1,360,"EMA","Worry/Rumination",28.4
